customer_id,email,transaction_date,department,supplier_name,product_id,date_column,phone,state,month,revenue,quarter,engagement_score,price
1,user1@example.com,2024-07-22,IT,Supplier 0,P1,06/23/2024,(555) 123-1000,Calif.,Jun,4174,Q4,0.8422847745949985,320.83215890366824
2,user2@example.com,2024-11-26,HR,Supplier 1,P2,2024-06-27,555-123-1001,Calif.,Jun,4507,Q4,0.44975413336976566,343.5456712618357
3,user3@example.com,2024-04-05,HR,Supplier 2,P3,2024-07-05,555-123-1002,California,Jan,1860,Q3,0.3951502360018144,270.15794582539684
4,user4@example.com,2024-12-13,IT,Supplier 3,P4,06/26/2024,555-123-1003,Calif.,Jan,2294,Q4,0.9266588657937942,229.4137506408149
5,user5@example.com,2024-11-15,Sales,Supplier 4,P5,2024-06-10,(555) 123-1004,Calif.,Feb,2130,Q3,0.7272719958564209,280.9176136449507
6,user6@example.com,2024-06-06,,Supplier 0,P6,2024-11-23,555-123-1005,California,Apr,2095,Q3,0.3265407688058354,300.42139470090285
7,user7@example.com,,IT,Supplier 1,P7,09/05/2024,555-123-1006,CA,Jun,4772,Q3,0.5704439744053994,49.61812990303047
8,user8@example.com,2024-05-28,Sales,Supplier 2,P8,2024-07-01,555-123-1007,Calif.,Apr,4092,Q2,0.5208342600258237,191.13068347008817
9,user9@example.com,2024-09-02,HR,Supplier 3,P9,2024-02-28,(555) 123-1008,CA,Apr,2638,Q1,0.9611720243493491,128.65836975593868
10,,2024-02-18,HR,Supplier 4,P10,04/18/2024,555-123-1009,CA,Jan,3169,Q2,0.8445338486781514,403.53848062614895
11,user11@example.com,2024-04-06,,Supplier 0,P11,2024-01-04,555-123-1010,CA,Jun,1466,Q2,0.7473201101373809,240.44731087855882
12,user12@example.com,2024-09-15,IT,Supplier 1,P12,2024-08-21,555-123-1011,CA,Feb,2238,Q4,0.5396921323890798,491.87733903847305
13,user13@example.com,2024-08-04,HR,Supplier 2,P13,02/01/2024,(555) 123-1012,California,Jan,1330,Q2,0.5867511656638482,205.423976797831
14,user14@example.com,,Sales,Supplier 3,P14,2024-09-09,555-123-1013,Calif.,Mar,2482,Q2,0.965255307264138,410.05161787749813
